id,web_name,team,now_cost,element_type,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,dreamteam_count
453,Callum Robinson,15,49,3,669,1,2,2,6,0,0,0,1,0,0,1,33,1
456,Morrison,15,45,3,12,0,0,0,0,0,0,0,0,0,0,0,1,0
471,Henderson,15,52,1,3240,0,1,13,33,0,1,0,2,0,97,16,160,4
472,Osborn,15,47,3,590,0,0,2,4,0,0,0,0,0,0,0,19,0
501,McBurnie,15,55,4,2105,6,1,9,25,0,0,0,4,0,0,6,86,0
521,Verrips,15,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,Bešić,15,43,3,243,0,0,0,2,0,0,0,2,0,0,0,9,0
547,Clarke,15,44,4,33,0,0,0,2,0,0,0,0,0,0,0,2,0
591,Rodwell,15,45,3,15,0,0,0,0,0,0,0,0,0,0,0,1,0
611,Jack Robinson,15,40,2,504,0,0,1,11,0,0,0,0,0,0,2,14,0
621,Berge,15,47,3,943,1,1,4,11,0,0,0,0,0,0,3,40,0
622,Zivkovic,15,47,4,107,0,0,0,4,0,0,0,0,0,0,0,5,0
625,Retsos,15,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Vestergaard,16,45,2,1496,1,0,4,26,0,0,0,3,0,0,6,51,2
305,Bertrand,16,48,2,2742,1,1,7,52,0,0,0,3,1,0,0,75,0
306,Valery,16,46,2,778,0,1,1,20,0,0,0,1,0,0,0,18,0
307,Bednarek,16,44,2,3057,1,1,7,57,1,0,0,4,0,0,5,84,0
308,Stephens,16,44,2,2451,1,3,7,39,0,0,0,4,1,0,8,85,3
310,Yoshida,16,41,2,558,0,0,1,18,0,0,0,1,0,0,1,10,0
311,Ramsay,16,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Austin,16,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Ings,16,76,4,2800,22,2,6,44,0,0,1,3,0,0,40,198,4
314,Obafemi,16,49,4,655,3,2,3,12,0,0,0,1,0,0,2,45,0
315,Long,16,46,4,1386,2,3,5,20,0,0,0,0,0,0,4,62,1
316,Gallagher,16,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Forster,16,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,McCarthy,16,45,1,2520,0,0,7,35,0,1,0,0,0,79,8,104,2
319,Gunn,16,42,1,900,0,0,2,25,0,0,0,0,0,30,3,29,1
320,Redmond,16,62,3,2763,4,4,7,51,0,0,0,2,0,0,8,107,2
321,Ward-Prowse,16,57,3,3420,5,4,9,60,0,0,2,9,0,0,8,117,0
322,Elyounoussi,16,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Armstrong,16,52,3,1706,5,4,7,25,0,0,0,4,0,0,10,98,1
324,Lemina,16,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Højbjerg,16,48,3,2750,0,3,7,51,0,0,0,5,0,0,1,75,0
326,Johnson,16,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Slattery,16,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Oriol Romeu,16,43,3,1855,0,0,5,38,0,0,0,5,0,0,1,51,0
337,Walker-Peters,16,44,2,944,0,1,2,12,0,0,0,1,0,0,2,32,0
437,Adams,16,53,4,1095,4,4,4,17,0,0,0,0,0,0,8,78,1
438,Djenepo,16,52,3,920,2,2,2,14,0,0,0,4,1,0,3,40,1
485,Hoedt,16,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Boufal,16,55,3,753,0,3,1,17,0,0,0,2,0,0,0,34,0
532,Danso,16,42,2,275,0,1,1,8,0,0,0,0,1,0,0,9,0
535,N'Lundulu,16,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Lewis,16,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Smallbone,16,45,3,389,0,2,3,4,0,0,0,0,0,0,1,24,0
633,Tella,16,45,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
645,Vokins,16,40,2,90,0,0,0,1,0,0,0,0,0,0,0,2,0
649,Jankewitz,16,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,Ferry,16,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
