,player_name,team_name,ids,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam
481,Wood,Burnley,91,90,2,0,1,0,0,0,0,0,0,0,3,53,72.6,14.4,111.0,19.8,13,True
482,Vydra,Burnley,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
483,Giroud,Chelsea,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
484,Benteke,Crystal Palace,129,21,0,0,0,1,0,0,0,0,0,0,0,5,5.8,11.3,19.0,3.6,1,False
485,Wickham,Crystal Palace,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
486,Tosun,Everton,146,35,0,0,0,1,0,0,0,0,0,0,0,2,2.0,10.0,20.0,3.2,1,False
487,Calvert-Lewin,Everton,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
488,Vardy,Leicester,166,90,0,0,0,1,0,0,0,0,0,0,0,0,4.2,11.2,45.0,6.0,2,False
489,Iheanacho,Leicester,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
490,Firmino,Liverpool,187,90,1,0,0,1,0,0,0,0,0,0,3,30,46.2,12.6,58.0,11.7,9,False
491,Origi,Liverpool,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
492,Agüero,Man City,210,90,1,1,1,0,0,0,0,0,0,0,0,40,53.4,38.1,56.0,14.8,9,False
493,Jesus,Man City,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
494,Lukaku,Man Utd,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
495,Rashford,Man Utd,233,60,0,0,0,1,0,0,0,0,0,0,0,5,4.6,12.5,6.0,2.3,2,False
496,Greenwood,Man Utd,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
497,Muto,Newcastle,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
498,Joselu,Newcastle,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
