,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
28,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,"3,136",22,3,2,2,3,1,0.63,0.09,0.72,0.57,0.66,15.8,14.2,3.0,0.45,0.09,0.54,0.41,0.49,Matches
29,Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,"2,700",1,5,0,0,4,1,0.03,0.17,0.20,0.03,0.20,0.5,0.5,3.0,0.02,0.10,0.12,0.02,0.12,Matches
30,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,37,37,"3,148",9,2,0,0,6,0,0.26,0.06,0.31,0.26,0.31,6.3,6.3,1.9,0.18,0.05,0.24,0.18,0.24,Matches
31,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,"3,229",2,6,0,0,1,0,0.06,0.17,0.22,0.06,0.22,2.7,2.7,5.7,0.07,0.16,0.23,0.07,0.23,Matches
32,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
33,Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.01,0.18,0.19,0.01,0.19,Matches
34,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,"1,177",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,0.0,0.14,0.00,0.14,0.14,0.14,Matches
35,George Baldock,eng ENG,DF,Sheffield Utd,26,1993,38,38,"3,420",2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.9,0.9,2.5,0.02,0.07,0.09,0.02,0.09,Matches
36,Phil Bardsley,sco SCO,DF,Burnley,34,1985,21,21,"1,890",0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.7,0.01,0.03,0.04,0.01,0.04,Matches
37,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,"1,103",1,4,0,0,0,0,0.08,0.33,0.41,0.08,0.41,2.1,2.1,2.7,0.17,0.22,0.40,0.17,0.40,Matches
38,Ashley Barnes,at AUT,FW,Burnley,29,1989,19,17,"1,352",6,0,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.6,4.8,0.5,0.37,0.03,0.41,0.32,0.36,Matches
39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,36,24,"2,083",6,8,0,0,0,0,0.26,0.35,0.60,0.26,0.60,8.6,8.6,3.5,0.37,0.15,0.52,0.37,0.52,Matches
40,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,"3,242",0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.0,0.01,0.03,0.04,0.01,0.04,Matches
41,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
42,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.2,2.2,0.2,0.83,0.07,0.90,0.83,0.90,Matches
43,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,"3,057",1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.1,0.03,0.00,0.03,0.03,0.03,Matches
44,Héctor Bellerín,es ESP,DF,Arsenal,24,1995,15,13,"1,158",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.03,0.06,0.04,0.06,Matches
45,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
46,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
47,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
48,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,"1,261",2,1,0,0,4,1,0.14,0.07,0.21,0.14,0.21,4.9,4.9,2.1,0.35,0.15,0.50,0.35,0.50,Matches
49,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.8,0.16,0.12,0.28,0.16,0.28,Matches
50,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,0.5,0.5,0.4,0.04,0.04,0.09,0.04,0.09,Matches
51,Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,14,8,704,3,1,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.2,1.2,1.0,0.15,0.12,0.27,0.15,0.27,Matches
52,Bernard,br BRA,"MF,FW",Everton,26,1992,27,15,"1,280",3,2,0,0,2,0,0.21,0.14,0.35,0.21,0.35,1.1,1.1,2.0,0.08,0.14,0.22,0.08,0.22,Matches
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bernardo,br BRA,DF,Brighton,24,1995,14,7,679,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.03,0.02,0.06,0.03,0.06,Matches
55,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,"2,742",1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,1.7,1.7,3.6,0.05,0.12,0.17,0.05,0.17,Matches
56,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
57,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,"2,530",1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.5,2.5,1.1,0.09,0.04,0.13,0.09,0.13,Matches
58,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,"1,259",1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
59,Willy Boly,fr FRA,DF,Wolves,28,1991,22,22,"1,979",0,1,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.3,0.01,0.02,0.03,0.01,0.03,Matches
60,Gaëtan Bong,cm CMR,"MF,DF",Brighton,31,1988,4,0,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.21,0.21,0.00,0.21,Matches
61,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,20,8,764,0,2,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.7,0.12,0.32,0.44,0.12,0.44,Matches
62,Jarrod Bowen,eng ENG,FW,West Ham,22,1996,13,11,917,1,4,0,0,0,0,0.10,0.39,0.49,0.10,0.49,1.8,1.8,2.3,0.17,0.22,0.40,0.17,0.40,Matches
63,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,1,2,0,0,1,0,0.20,0.40,0.59,0.20,0.59,1.1,1.1,0.3,0.21,0.06,0.27,0.21,0.27,Matches
64,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
65,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
66,Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
