Rk,Player,Nation,Pos,Squad,Age,Born,,,,,,,,,,,,,,,,,,,,,,,Matches
494,James-Ward-Prowse,ENG,MFDF,Southampton,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
495,Kelland-Watts,ENG,DF,Newcastle Utd,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
496,Adam-Webster,ENG,DF,Brighton,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
497,Danny-Welbeck,ENG,FWMF,Watford,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
498,Ashley-Westwood,ENG,MF,Burnley,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
499,Connor-Wickham,ENG,FWMF,Crystal Palace,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
500,Georginio-Wijnaldum,NED,MF,Liverpool,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
501,Jetro-Willems,NED,DF,Newcastle Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
502,Brandon-Williams,ENG,DF,Manchester Utd,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
503,Neco-Williams,WAL,DF,Liverpool,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
504,Willian,BRA,FW,Chelsea,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
505,Joe-Willock,ENG,MFFW,Arsenal,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
506,Jack-Wilshere,ENG,MF,West Ham,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
507,Callum-Wilson,ENG,FW,Bournemouth,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
508,Harry-Wilson,WAL,MFFW,Bournemouth,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
509,Harry-Winks,ENG,MF,Tottenham,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
510,Chris-Wood,NZL,FW,Burnley,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
511,Granit-Xhaka,SUI,MF,Arsenal,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
512,Andriy-Yarmolenko,UKR,MFFW,West Ham,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
513,DeAndre-Yedlin,USA,DF,Newcastle Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
514,Maya-Yoshida,JPN,DF,Southampton,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
515,Ashley-Young,ENG,DF,Manchester Utd,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
516,Pablo-Zabaleta,ARG,DF,West Ham,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
517,Wilfried-Zaha,CIV,MFFW,Crystal Palace,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
518,Christoph-Zimmermann,GER,DF,Norwich City,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
519,Oleksandr-Zinchenko,UKR,DF,Manchester City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
520,Richairo-Zivkovic,NED,FW,Sheffield Utd,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
521,Kurt-Zouma,FRA,DF,Chelsea,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
