Rk,Player,Nation,Pos,Squad,Age,Born,,,,,,,,,,,,,,,,,,,,,,,Matches
123,Paul-Dummett,WAL,DF,Newcastle Utd,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
124,Lewis-Dunk,ENG,DF,Brighton,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
125,Ederson,BRA,GK,Manchester City,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
126,John-Egan,IRL,DF,Sheffield Utd,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
127,Harvey-Elliot,ENG,DF,Liverpool,16,2003,,,,,,,,,,,,,,,,,,,,,,,Matches
128,Ahmed-Elmohamady,EGY,DF,Aston Villa,31,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
129,Bjorn-Engels,BEL,DF,Aston Villa,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
130,Christian-Eriksen,DEN,MFFW,Tottenham,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
131,Jonny-Evans,NIR,DF,Leicester City,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
132,Lukasz-Fabianski,POL,GK,West Ham,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
133,Fabinho,BRA,MF,Liverpool,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
134,Ralf-Fahrmann,GER,GK,Norwich City,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
135,Akin-Famewo,ENG,MF,Norwich City,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
136,Kiko-Femenia,ESP,DF,Watford,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
137,Bruno-Fernandes,POR,MF,Manchester Utd,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
138,Gedson-Fernandes,POR,MFDF,Tottenham,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
139,Federico-Fernandez,ARG,DF,Newcastle Utd,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
140,Fernandinho,BRA,DF,Manchester City,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
141,Roberto-Firmino,BRA,FW,Liverpool,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
142,John-Fleck,SCO,MF,Sheffield Utd,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
143,Phil-Foden,ENG,FWMF,Manchester City,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
144,Pablo-Fornals,ESP,MFFW,West Ham,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
145,Ben-Foster,ENG,GK,Watford,36,1983,,,,,,,,,,,,,,,,,,,,,,,Matches
146,Timothy-Fosu-Mensah,NED,DF,Manchester Utd,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
147,Dimitri-Foulquier,FRA,MFDF,Watford,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
148,Juan-Foyth,ARG,DF,Tottenham,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
149,Simon-Francis,ENG,DF,Bournemouth,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
150,Ryan-Fraser,SCO,MFFW,Bournemouth,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
151,Fred,BRA,MF,Manchester Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
152,Ryan-Fredericks,ENG,DF,West Ham,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
153,Kieron-Freeman,WAL,FW,Sheffield Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
154,Luke-Freeman,ENG,MF,Sheffield Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
155,Christian-Fuchs,AUT,DF,Leicester City,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
156,Eric-Garcia,ESP,DF,Manchester City,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
157,James-Garner,ENG,MF,Manchester Utd,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
158,Dwight-Gayle,ENG,FW,Newcastle Utd,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
159,Paulo-Gazzaniga,ARG,GK,Tottenham,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
160,Jean-Philippe-Gbamin,CIV,MF,Everton,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
161,David-de-Gea,ESP,GK,Manchester Utd,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
162,Anwar-El-Ghazi,NED,FWMF,Aston Villa,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
163,Morgan-Gibbs-White,ENG,MFFW,Wolves,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
164,Billy-Gilmour,SCO,MF,Chelsea,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
165,Olivier-Giroud,FRA,FW,Chelsea,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
166,Ben-Godfrey,ENG,DF,Norwich City,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
167,Andre-Gomes,POR,MF,Everton,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
168,Angel-Gomes,ENG,MF,Manchester Utd,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
169,Joe-Gomez,ENG,DF,Liverpool,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
170,Anthony-Gordon,ENG,MFFW,Everton,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
171,Dan-Gosling,ENG,MF,Bournemouth,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
172,Andre-Gray,ENG,FW,Watford,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
173,Demarai-Gray,ENG,MFFW,Leicester City,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
174,Jack-Grealish,ENG,FWMF,Aston Villa,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
175,Mason-Greenwood,ENG,FW,Manchester Utd,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
176,Arnaut-Groeneveld,NED,MF,Bournemouth,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
177,Pascal-Gross,GER,FWMF,Brighton,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
178,Vicente-Guaita,ESP,GK,Crystal Palace,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
179,Matteo-Guendouzi,FRA,MF,Arsenal,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
180,Frederic-Guilbert,FRA,DF,Aston Villa,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
181,Ilkay-Gundogan,GER,MF,Manchester City,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
182,Angus-Gunn,ENG,GK,Southampton,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
183,Sebastien-Haller,FRA,FW,West Ham,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
184,Grant-Hanley,SCO,DF,Norwich City,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
185,Kortney-Hause,ENG,DF,Aston Villa,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
186,Isaac-Hayden,ENG,MF,Newcastle Utd,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
187,Tom-Heaton,ENG,GK,Aston Villa,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
188,Dean-Henderson,ENG,GK,Sheffield Utd,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
189,Jordan-Henderson,ENG,MF,Liverpool,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
190,Jeff-Hendrick,IRL,MF,Burnley,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
191,Wayne-Hennessey,WAL,GK,Crystal Palace,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
192,Javier-Hernandez,MEX,FW,West Ham,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
193,Onel-Hernandez,CUB,FWMF,Norwich City,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
194,Son-Heung-min,KOR,FWMF,Tottenham,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
195,George-Hirst,ENG,FW,Leicester City,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
196,Rob-Holding,ENG,DF,Arsenal,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
197,Jose-Holebas,GRE,DF,Watford,35,1984,,,,,,,,,,,,,,,,,,,,,,,Matches
198,Mason-Holgate,ENG,DF,Everton,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
199,Nathan-Holland,ENG,MF,West Ham,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
200,Conor-Hourihane,IRL,MF,Aston Villa,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
201,Callum-Hudson-Odoi,ENG,FW,Chelsea,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
202,Will-Hughes,ENG,MFFW,Watford,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
203,Pierre-Hojbjerg,DEN,MF,Southampton,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
204,Jordon-Ibe,ENG,DF,Bournemouth,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
205,Adam-Idah,IRL,FWMF,Norwich City,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
206,Odion-Ighalo,NGA,FW,Manchester Utd,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
207,Kelechi-Iheanacho,NGA,FW,Leicester City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
208,Danny-Ings,ENG,FW,Southampton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
209,Alex-Iwobi,NGA,MFFW,Everton,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
210,Phil-Jagielka,ENG,DF,Sheffield Utd,36,1982,,,,,,,,,,,,,,,,,,,,,,,Matches
211,Alireza-Jahanbakhsh,IRN,FWMF,Brighton,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
212,Daniel-James,WAL,FW,Manchester Utd,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
213,Matty-James,ENG,MF,Leicester City,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
214,Reece-James,ENG,DF,Chelsea,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
215,Daryl-Janmaat,NED,DF,Watford,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
216,Gabriel-Jesus,BRA,FW,Manchester City,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
217,Raul-Jimenez,MEX,FW,Wolves,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
218,Joelinton,BRA,FW,Newcastle Utd,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
219,Ben-Johnson,ENG,DF,West Ham,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
220,Curtis-Jones,ENG,MF,Liverpool,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
221,Phil-Jones,ENG,DF,Manchester Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
222,Bruno-Jordao,POR,FW,Wolves,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
223,Jorginho,ITA,MF,Chelsea,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
224,Jota,ESP,FWMF,Aston Villa,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
225,Diogo-Jota,POR,FWMF,Wolves,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
226,James-Justin,ENG,DF,Leicester City,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
227,Christian-Kabasele,BEL,DF,Watford,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
228,Harry-Kane,ENG,FW,Tottenham,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
229,NGolo-Kante,FRA,MF,Chelsea,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
230,Moise-Kean,ITA,FW,Everton,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
231,Michael-Keane,ENG,DF,Everton,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
232,Naby-Keita,GUI,MF,Liverpool,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
233,Lloyd-Kelly,ENG,DF,Bournemouth,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
234,Martin-Kelly,ENG,DF,Crystal Palace,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
235,Max-Kilman,ENG,DF,Wolves,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
236,Joshua-King,NOR,FWMF,Bournemouth,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
237,Timm-Klose,SUI,DF,Norwich City,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
238,Jonathan-Kodjia,CIV,FWMF,Aston Villa,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
239,Sead-Kolasinac,BIH,DF,Arsenal,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
240,Ezri-Konsa,ENG,DF,Aston Villa,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
241,Cheikhou-Kouyate,SEN,MFDF,Crystal Palace,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
242,Mateo-Kovacic,CRO,MF,Chelsea,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
243,Emil-Krafth,SWE,DF,Newcastle Utd,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
244,Tim-Krul,NED,GK,Norwich City,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
245,Alexandre-Lacazette,FRA,FW,Arsenal,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
246,Adam-Lallana,ENG,MFFW,Liverpool,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
