,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
27,01/02/2020,Sat,Premier League,Matchweek 25,Home,L 0–1,Crystal Palace,Sheffield Utd,Y,LB,90,0,0,0,0,2,0,0,0,93,9,1,0,2,0.1,0.1,0,1,0,67,86,77.9,391,62,210,1,2,1225,0,0,56,63,88.9,11,20,55,0,7,0,0,11,70,16,1,0,1,0,4,1,3,0,58,17,11,59,16,0,11,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,33.3,5,2,2,0,2,,1,0,0,2,50,1,1,64,62,96.9,1,1,0,0,0,0,10,0,0,
28,08/02/2020,Sat,Premier League,Matchweek 26,Away,L 1–3,Crystal Palace,Everton,Y,LB,90,0,0,0,0,2,0,0,0,70,7,4,0,2,0.1,0.1,0,1,0,46,62,74.2,402,36,97,1,2,786,0,0,42,50,84,4,11,36.4,0,3,2,0,7,44,18,3,0,1,2,4,2,2,0,37,11,14,41,9,1,11,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,2,0,1,100,0,28.6,5,1,1,0,2,,1,0,1,1,50,1,0,45,39,86.7,0,1,0,0,0,0,7,0,1,0
29,22/02/2020,Sat,Premier League,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd,Y,LB,90,1,0,0,0,2,1,0,0,76,9,0,0,0,0.1,0.1,0.6,6,0,60,70,85.7,637,34,103,0,0,1284,1,16.7,39,40,97.5,20,24,83.3,6,4,0,0,17,44,26,9,0,0,4,4,3,0,0,35,15,20,51,6,0,13,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.2,4,3,2,0,0,,1,0,1,2,,0,0,37,35,94.6,0,0,0,0,0,0,9,0,0,
30,29/02/2020,Sat,Premier League,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton,Y,LB,90,0,0,0,0,0,0,0,0,84,20,6,1,6,0,0,0.2,3,0,36,67,53.7,429,31,69,1,2,677,0,0,32,46,69.6,4,16,25,2,2,0,0,13,37,30,3,0,2,2,4,3,1,0,24,16,27,34,8,1,23,0,1,1,1,2,0,0,0,0,0,0,0,0,4,4,1,1,2,50,2,25,14,5,1,0,2,,4,0,9,2,50,1,0,30,28,93.3,1,0,0,0,0,0,10,1,1,50
33,07/03/2020,Sat,Premier League,Matchweek 29,Home,W 1–0,Crystal Palace,Watford,Y,LB,90,0,0,0,0,1,0,0,0,62,10,2,4,0,0,0,0,2,0,35,51,68.6,302,35,168,0,1,611,0,0,31,36,86.1,4,13,30.8,1,4,1,0,9,36,15,6,0,1,2,2,0,2,0,29,10,12,37,6,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,40,6,2,2,0,0,,4,0,3,3,0,0,0,36,32,88.9,0,1,0,1,0,0,6,1,0,100
34,20/06/2020,Sat,Premier League,Matchweek 30,Away,W 2–0,Crystal Palace,Bournemouth,Y,LB,90,0,1,0,0,0,0,0,0,58,9,1,0,3,0,0,0.3,3,1,40,50,80,324,31,75,0,0,703,0,0,31,36,86.1,9,13,69.2,2,4,0,0,7,35,15,5,0,0,1,2,1,0,0,21,16,13,34,7,1,8,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,25,3,22.2,7,2,0,0,3,,5,0,5,1,,0,0,25,24,96,0,0,0,1,0,0,11,0,1,0
35,24/06/2020,Wed,Premier League,Matchweek 31,Away,L 0–4,Crystal Palace,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,64,15,4,1,3,0,0,0,2,0,37,48,77.1,155,35,109,1,4,417,3,75,32,40,80,2,4,50,1,0,0,0,1,39,9,0,0,0,0,0,0,0,0,30,15,3,28,11,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1,0,2,100,0,53.3,10,3,2,0,2,,3,0,9,0,25,1,0,37,32,86.5,1,1,0,0,0,0,12,0,0,
36,29/06/2020,Mon,Premier League,Matchweek 32,Home,L 0–1,Crystal Palace,Burnley,Y,LB,90,0,0,0,0,1,1,0,0,79,13,2,0,1,0,0,0,3,0,53,69,76.8,304,41,169,0,0,882,1,50,45,51,88.2,7,16,43.8,0,2,1,1,6,49,20,4,0,3,3,6,1,3,1,47,12,10,45,12,2,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,50,1,38.5,6,6,1,0,1,,2,0,2,2,,0,0,50,46,92,1,0,0,2,0,0,6,1,1,50
37,04/07/2020,Sat,Premier League,Matchweek 33,Away,L 0–3,Crystal Palace,Leicester City,Y,LB,82,0,0,0,0,0,0,0,0,56,8,2,0,2,0,0,0,3,0,33,46,71.7,277,35,82,2,3,470,0,0,30,36,83.3,3,7,42.9,1,2,0,0,8,33,13,2,0,2,2,1,0,0,1,27,6,13,29,7,0,10,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,2,100,0,25,4,3,1,0,2,,1,0,1,1,66.7,2,0,28,25,89.3,2,2,0,1,0,0,14,1,1,50
38,07/07/2020,Tue,Premier League,Matchweek 34,Home,L 2–3,Crystal Palace,Chelsea,Y,LB,90,0,1,0,0,2,0,0,0,58,9,0,1,2,0.2,0.2,1,6,3,43,50,86,347,34,161,3,4,736,0,0,37,39,94.9,6,10,60,3,3,2,0,12,37,13,0,0,2,2,4,1,1,1,32,8,10,31,10,0,9,0,1,0,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,33.3,0,5,4,0,1,,1,0,5,2,75,3,0,33,29,87.9,2,0,0,1,0,0,13,0,1,0
39,12/07/2020,Sun,Premier League,Matchweek 35,Away,L 0–2,Crystal Palace,Aston Villa,Y,LB,90,0,0,0,0,1,1,0,0,70,7,1,0,1,0.3,0.3,0.1,1,0,48,63,76.2,498,36,120,0,0,757,3,50,42,48,87.5,3,9,33.3,1,3,0,0,15,43,20,9,0,3,4,1,1,0,0,38,10,15,47,5,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,14.3,3,1,3,0,1,,3,0,4,2,,0,0,41,37,90.2,1,0,0,1,0,0,8,1,1,50
40,16/07/2020,Thu,Premier League,Matchweek 36,Home,L 0–2,Crystal Palace,Manchester Utd,Y,LB,83,0,0,0,0,2,0,0,0,56,8,1,1,3,0.1,0.1,0,2,0,39,46,84.8,243,37,179,1,2,631,0,,32,38,84.2,7,8,87.5,0,4,2,0,9,38,8,0,0,0,0,0,0,0,0,35,11,0,28,10,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,33.3,2,37.5,4,3,1,0,2,,0,0,4,2,50,1,0,39,36,92.3,0,0,0,0,0,0,5,0,0,
